old_car_id,old_car_title,old_car_make,old_car_model,old_price,old_coe,new_car_id,new_car_name,new_car_model,new_price,no_owners,manufactured,similarity
13126,porsche 911 carrera 4s 3.0a pdk,porsche,911,716000,49001,230,porsche 911,carrera 4s pdk 3.0 ,597000,1,2019,98
12707,porsche 911 carrera gts 3.0a pdk,porsche,911,514600,49000,231,porsche 911,carrera gts pdk 3.0 ,693000,2,2017,98
4683,toyota corolla axio hybrid 1.5a,toyota,corolla,61500,49430,235,toyota corolla axio hybrid,1.5,110000,1,2016,98
4710,toyota corolla axio hybrid 1.5a,toyota,corolla,69100,42339,235,toyota corolla axio hybrid,1.5,110000,1,2017,98
7216,toyota corolla axio hybrid 1.5a,toyota,corolla,68800,38200,235,toyota corolla axio hybrid,1.5,110000,1,2017,98
7307,toyota corolla axio hybrid 1.5a,toyota,corolla,96600,31917,235,toyota corolla axio hybrid,1.5,110000,1,2019,98
8177,toyota corolla axio hybrid 1.5a,toyota,corolla,68800,38200,235,toyota corolla axio hybrid,1.5,110000,1,2017,98
8392,toyota corolla axio hybrid 1.5a,toyota,corolla,90000,30009,235,toyota corolla axio hybrid,1.5,110000,1,2019,98
8805,toyota corolla axio hybrid 1.5a,toyota,corolla,68000,41761,235,toyota corolla axio hybrid,1.5,110000,1,2017,98
12464,toyota corolla axio hybrid 1.5a,toyota,corolla,62200,49430,235,toyota corolla axio hybrid,1.5,110000,1,2016,98
13245,toyota corolla axio hybrid 1.5a,toyota,corolla,67600,42900,235,toyota corolla axio hybrid,1.5,110000,1,2017,98
13805,toyota corolla axio hybrid 1.5a,toyota,corolla,70200,36001,235,toyota corolla axio hybrid,1.5,110000,2,2017,98
14337,toyota corolla axio hybrid 1.5a,toyota,corolla,69100,36001,235,toyota corolla axio hybrid,1.5,110000,1,2017,98
15193,toyota corolla axio hybrid 1.5a,toyota,corolla,68000,41761,235,toyota corolla axio hybrid,1.5,110000,1,2017,98
884,toyota gr supra 3.0a pro,toyota,gr,361700,51900,288,toyota gr supra,3.0 pro ,305000,2,2019,98
1340,toyota gr supra 3.0a pro,toyota,gr,322300,36000,288,toyota gr supra,3.0 pro ,305000,1,2019,98
895,porsche 718 boxster 2.0a pdk,porsche,718,329200,42564,314,porsche 718 boxster,pdk 2.0 ,285788,1,2019,98
9280,porsche 718 boxster 2.0a pdk,porsche,718,295700,47501,314,porsche 718 boxster,pdk 2.0 ,285788,3,2017,98
10106,porsche 718 boxster 2.0a pdk,porsche,718,292400,47501,314,porsche 718 boxster,pdk 2.0 ,285788,3,2017,98
13358,porsche 718 boxster 2.0a pdk,porsche,718,325400,42564,314,porsche 718 boxster,pdk 2.0 ,285788,1,2019,98
12107,porsche 718 boxster s 2.5a pdk,porsche,718,358400,60001,315,porsche 718 boxster,s pdk 2.5 ,343588,1,2019,98
3885,toyota harrier 2.0a g,toyota,harrier,188100,49300,330,toyota harrier,2.0 g ,200000,1,2020,98
10158,toyota harrier 2.0a g,toyota,harrier,172700,47001,330,toyota harrier,2.0 g ,200000,1,2020,98
15691,aston martin db11 v8 4.0a,aston,db11,638000,39903,332,aston martin db11,4.0 v8 ,799000,3,2018,98
861,maserati granturismo 4.2a ,maserati,granturismo,163700,50578,333,maserati granturismo,4.2,471000,5,2007,98
1389,maserati granturismo 4.2a ,maserati,granturismo,170500,34935,333,maserati granturismo,4.2,471000,3,2010,98
1618,maserati granturismo 4.2a,maserati,granturismo,174900,75000,333,maserati granturismo,4.2,471000,2,2012,98
2334,maserati granturismo 4.2a ,maserati,granturismo,152700,38071,333,maserati granturismo,4.2,471000,6,2009,98
3887,maserati granturismo 4.2a,maserati,granturismo,163700,80000,333,maserati granturismo,4.2,471000,1,2013,98
4013,maserati granturismo 4.2a ,maserati,granturismo,170500,49716,333,maserati granturismo,4.2,471000,3,2011,98
5141,maserati granturismo 4.2a ,maserati,granturismo,167000,39463,333,maserati granturismo,4.2,471000,5,2009,98
5721,maserati granturismo 4.2a ,maserati,granturismo,162000,35411,333,maserati granturismo,4.2,471000,3,2009,98
5777,maserati granturismo 4.2a ,maserati,granturismo,181500,49716,333,maserati granturismo,4.2,471000,5,2011,98
6523,maserati granturismo 4.2a ,maserati,granturismo,152800,36888,333,maserati granturismo,4.2,471000,6,2008,98
8385,maserati granturismo 4.2a ,maserati,granturismo,185700,58306,333,maserati granturismo,4.2,471000,4,2011,98
9384,maserati granturismo 4.2a ,maserati,granturismo,174900,39313,333,maserati granturismo,4.2,471000,5,2010,98
9450,maserati granturismo 4.2a ,maserati,granturismo,137300,44998,333,maserati granturismo,4.2,471000,4,2007,98
10696,maserati granturismo 4.2a ,maserati,granturismo,149400,39563,333,maserati granturismo,4.2,471000,5,2009,98
10803,maserati granturismo 4.2a ,maserati,granturismo,151600,32279,333,maserati granturismo,4.2,471000,6,2008,98
11495,maserati granturismo 4.2a ,maserati,granturismo,158200,35416,333,maserati granturismo,4.2,471000,6,2010,98
12180,maserati granturismo 4.2a ,maserati,granturismo,174700,47316,333,maserati granturismo,4.2,471000,6,2011,98
12469,maserati granturismo 4.2a ,maserati,granturismo,157100,39463,333,maserati granturismo,4.2,471000,4,2009,98
14362,maserati granturismo 4.2a ,maserati,granturismo,181500,32914,333,maserati granturismo,4.2,471000,5,2010,98
390,audi q5 2.0a tfsi quattro ,audi,q5,88900,39463,335,audi q5,2.0 tfsi quattro ,245000,6,2009,98
608,audi q5 2.0a tfsi quattro,audi,q5,102300,50089,335,audi q5,2.0 tfsi quattro ,245000,1,2015,98
5021,audi q5 2.0a tfsi quattro,audi,q5,86700,71889,335,audi q5,2.0 tfsi quattro ,245000,2,2014,98
7181,audi q5 2.0a tfsi quattro,audi,q5,90000,70500,335,audi q5,2.0 tfsi quattro ,245000,1,2014,98
8268,audi q5 2.0a tfsi quattro,audi,q5,53700,83700,335,audi q5,2.0 tfsi quattro ,245000,1,2012,98
8808,audi q5 2.0a tfsi quattro,audi,q5,105400,56000,335,audi q5,2.0 tfsi quattro ,245000,1,2016,98
9528,audi q5 2.0a tfsi quattro,audi,q5,100700,65501,335,audi q5,2.0 tfsi quattro ,245000,2,2014,98
9542,audi q5 2.0a tfsi quattro,audi,q5,107600,47604,335,audi q5,2.0 tfsi quattro ,245000,2,2015,98
10299,audi q5 2.0a tfsi quattro,audi,q5,105400,46970,335,audi q5,2.0 tfsi quattro ,245000,1,2015,98
10987,audi q5 2.0a tfsi quattro,audi,q5,81600,67901,335,audi q5,2.0 tfsi quattro ,245000,2,2014,98
12665,audi q5 2.0a tfsi quattro,audi,q5,109800,53001,335,audi q5,2.0 tfsi quattro ,245000,1,2016,98
13082,audi q5 2.0a tfsi quattro,audi,q5,90000,61001,335,audi q5,2.0 tfsi quattro ,245000,1,2015,98
13768,audi q5 2.0a tfsi quattro ,audi,q5,86800,33568,335,audi q5,2.0 tfsi quattro ,245000,3,2010,98
15262,audi q5 2.0a tfsi quattro,audi,q5,116600,56340,335,audi q5,2.0 tfsi quattro ,245000,2,2016,98
15630,audi q5 2.0a tfsi quattro,audi,q5,55900,58090,335,audi q5,2.0 tfsi quattro ,245000,3,2010,98
3538,porsche panamera 3.0a pdk,porsche,panamera,405700,39000,337,porsche panamera,pdk 3.0 ,433000,1,2018,98
4567,porsche panamera 3.0a pdk,porsche,panamera,537700,41001,337,porsche panamera,pdk 3.0 ,433000,2,2019,98
5823,porsche panamera 3.0a pdk,porsche,panamera,357500,49996,337,porsche panamera,pdk 3.0 ,433000,1,2017,98
6124,porsche panamera 3.0a pdk,porsche,panamera,382800,45289,337,porsche panamera,pdk 3.0 ,433000,1,2018,98
6282,porsche panamera 3.0a pdk,porsche,panamera,427800,36961,337,porsche panamera,pdk 3.0 ,433000,1,2019,98
8034,porsche panamera 3.0a pdk,porsche,panamera,323200,53300,337,porsche panamera,pdk 3.0 ,433000,1,2017,98
14445,porsche panamera 3.0a pdk,porsche,panamera,343200,53001,337,porsche panamera,pdk 3.0 ,433000,1,2017,98
1251,porsche cayenne coupe 3.0a,porsche,cayenne,457600,50100,371,porsche cayenne coupe,3,427000,1,2020,98
2597,porsche cayenne coupe 3.0a,porsche,cayenne,465300,60109,371,porsche cayenne coupe,3,427000,1,2020,98
3083,porsche cayenne coupe 3.0a,porsche,cayenne,457600,47001,371,porsche cayenne coupe,3,427000,1,2020,98
10823,porsche cayenne coupe 3.0a,porsche,cayenne,457600,49001,371,porsche cayenne coupe,3,427000,1,2020,98
1253,maserati grancabrio sport 4.7a,maserati,grancabrio,185800,92050,381,maserati grancabrio,sport 4.7 ,624000,5,2012,98
7876,maserati grancabrio sport 4.7a,maserati,grancabrio,214500,79304,381,maserati grancabrio,sport 4.7 ,624000,1,2012,98
8963,maserati grancabrio sport 4.7a,maserati,grancabrio,339700,75801,381,maserati grancabrio,sport 4.7 ,624000,1,2013,98
13074,maserati grancabrio sport 4.7a,maserati,grancabrio,180200,95501,381,maserati grancabrio,sport 4.7 ,624000,3,2012,98
15610,maserati grancabrio sport 4.7a,maserati,grancabrio,261800,84001,381,maserati grancabrio,sport 4.7 ,624000,3,2013,98
11199,mini john cooper works gp 2.0a,mini,cooper,218600,49489,392,mini john cooper works gp,2,263000,1,2020,98
11264,mini john cooper works gp 2.0a,mini,cooper,234100,40301,392,mini john cooper works gp,2,263000,1,2020,98
12571,mini john cooper works gp 2.0a,mini,cooper,239800,47806,392,mini john cooper works gp,2,263000,1,2020,98
14886,mini john cooper works gp 2.0a,mini,cooper,212300,47506,392,mini john cooper works gp,2,263000,1,2020,98
7024,porsche 718 cayman gt4 4.0m,porsche,718,616000,32500,397,porsche 718 cayman,gt4 4.0 ,523000,1,2020,98
4051,mini cooper countryman 1.5a,mini,cooper,128500,49996,414,mini cooper countryman,1.5,205888,1,2016,98
5657,mini cooper countryman 1.5a,mini,cooper,162800,56100,414,mini cooper countryman,1.5,205888,1,2019,98
106,maserati quattroporte s 3.0a,maserati,quattroporte,197800,93500,424,maserati quattroporte,s 3.0 ,480000,3,2014,98
2640,maserati quattroporte s 3.0a,maserati,quattroporte,183300,80000,424,maserati quattroporte,s 3.0 ,480000,4,2013,98
3100,maserati quattroporte s 3.0a,maserati,quattroporte,274800,54901,424,maserati quattroporte,s 3.0 ,480000,1,2014,98
6742,maserati quattroporte s 3.0a,maserati,quattroporte,283800,52000,424,maserati quattroporte,s 3.0 ,480000,1,2014,98
7218,mg hs 1.5a turbo,mg,hs,130700,40990,12,mg hs,1.5 turbo ,148888,1,2020,97
7238,mg hs 1.5a turbo,mg,hs,130700,46002,12,mg hs,1.5 turbo ,148888,1,2020,97
1655,bmw 4 series 420i coupe sport,bmw,420i,164800,31001,165,bmw 4 series coupe,420i m sport ,272888,1,2018,97
1890,bmw 4 series 420i coupe sport,bmw,420i,165900,31307,165,bmw 4 series coupe,420i m sport ,272888,1,2018,97
12363,bmw 4 series 420i coupe sport,bmw,420i,177000,40009,165,bmw 4 series coupe,420i m sport ,272888,2,2019,97
15598,bmw 4 series 420i coupe sport,bmw,420i,157100,42661,165,bmw 4 series coupe,420i m sport ,272888,1,2017,97
13126,porsche 911 carrera 4s 3.0a pdk,porsche,911,716000,49001,227,porsche 911,carrera 4 pdk 3.0 ,531000,1,2019,97
10529,honda grace 1.5a lx,honda,grace,81400,26667,325,honda grace,1.5 lx ,104000,1,2019,97
10653,honda grace 1.5a lx,honda,grace,64700,41761,325,honda grace,1.5 lx ,104000,1,2017,97
563,audi e-tron electric 55 quattro,audi,e-tron,319000,37000,346,audi e`tron electric,55 quattro ,370000,2,2019,97
1850,audi e-tron electric 55 quattro,audi,e-tron,386100,46002,346,audi e`tron electric,55 quattro ,370000,1,2020,97
10004,bmw 4 series 430i convertible sport,bmw,430i,158200,56340,420,bmw 4 series convertible,420i sport ,263000,2,2016,97
36,honda freed hybrid 1.5a g 7-seater,honda,freed,138600,60001,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2020,96
1037,honda freed hybrid 1.5a g 7-seater,honda,freed,102100,39400,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2018,96
1208,honda freed hybrid 1.5a g 7-seater,honda,freed,100700,33689,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2018,96
1914,honda freed hybrid 1.5a g 7-seater,honda,freed,113200,40512,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2019,96
2446,honda freed hybrid 1.5a g 7-seater,honda,freed,104300,36961,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2018,96
4287,honda freed hybrid 1.5a g 7-seater,honda,freed,102100,36000,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2018,96
5616,honda freed hybrid 1.5a g 7-seater,honda,freed,85800,50000,95,honda freed hybrid,1.5 g 7`seater ,148000,2,2017,96
5780,honda freed hybrid 1.5a g 7-seater,honda,freed,107300,36001,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2019,96
6898,honda freed hybrid 1.5a g 7-seater,honda,freed,108700,37000,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2019,96
7491,honda freed hybrid 1.5a g 7-seater,honda,freed,105500,36001,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2018,96
10051,honda freed hybrid 1.5a g 7-seater,honda,freed,100000,30851,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2018,96
12304,honda freed hybrid 1.5a g 7-seater,honda,freed,107700,35906,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2018,96
15237,honda freed hybrid 1.5a g 7-seater,honda,freed,84500,50001,95,honda freed hybrid,1.5 g 7`seater ,148000,1,2017,96
243,honda fit 1.3a,honda,fit,93500,41801,124,honda fit,1.3,96000,1,2020,96
1672,honda fit 1.3a ,honda,fit,6900,25313,124,honda fit,1.3,96000,6,2007,96
2068,honda fit 1.3a ,honda,fit,72500,20334,124,honda fit,1.3,96000,1,2020,96
2843,honda fit 1.3a ,honda,fit,43800,50230,124,honda fit,1.3,96000,3,2007,96
3069,honda fit 1.3a ,honda,fit,21900,15142,124,honda fit,1.3,96000,4,2008,96
3108,honda fit 1.3a ,honda,fit,8200,25333,124,honda fit,1.3,96000,5,2007,96
4292,honda fit 1.3a,honda,fit,85600,33000,124,honda fit,1.3,96000,1,2020,96
4310,honda fit 1.3a,honda,fit,92200,45600,124,honda fit,1.3,96000,1,2020,96
4884,honda fit 1.3a,honda,fit,91300,49640,124,honda fit,1.3,96000,1,2020,96
6236,honda fit 1.3a ,honda,fit,47200,42564,124,honda fit,1.3,96000,2,2007,96
8250,honda fit 1.3a ,honda,fit,42700,50645,124,honda fit,1.3,96000,2,2006,96
8644,honda fit 1.3a,honda,fit,90200,45600,124,honda fit,1.3,96000,1,2020,96
9011,honda fit 1.3a ,honda,fit,8600,21282,124,honda fit,1.3,96000,6,2007,96
9588,honda fit 1.3a ,honda,fit,10900,20997,124,honda fit,1.3,96000,2,2007,96
9851,honda fit 1.3a ,honda,fit,29700,15287,124,honda fit,1.3,96000,3,2008,96
10232,honda fit 1.3a ,honda,fit,76900,18990,124,honda fit,1.3,96000,1,2020,96
10988,honda fit 1.3a ,honda,fit,57000,29670,124,honda fit,1.3,96000,3,2008,96
11294,honda fit 1.3a,honda,fit,95700,41996,124,honda fit,1.3,96000,1,2020,96
12568,honda fit 1.3a,honda,fit,85800,36534,124,honda fit,1.3,96000,1,2020,96
12983,honda fit 1.3a,honda,fit,95700,45600,124,honda fit,1.3,96000,1,2020,96
13058,honda fit 1.3a,honda,fit,86700,47010,124,honda fit,1.3,96000,1,2021,96
13467,honda fit 1.3a,honda,fit,86700,45600,124,honda fit,1.3,96000,1,2021,96
13859,honda fit 1.3a,honda,fit,84600,32699,124,honda fit,1.3,96000,1,2020,96
13998,honda fit 1.3a ,honda,fit,2100,26054,124,honda fit,1.3,96000,2,2006,96
14517,honda fit 1.3a,honda,fit,88900,40609,124,honda fit,1.3,96000,1,2020,96
14758,honda fit 1.3a,honda,fit,86800,40714,124,honda fit,1.3,96000,1,2020,96
15069,honda fit 1.3a,honda,fit,95700,44589,124,honda fit,1.3,96000,1,2020,96
793,porsche 911 carrera cabriolet 3.6a pdk ,porsche,911,284700,40014,429,porsche 911 cabriolet,carrera pdk 3.0 ,569000,5,2010,96
1408,porsche 911 carrera cabriolet 3.6a pdk ,porsche,911,264900,40014,429,porsche 911 cabriolet,carrera pdk 3.0 ,569000,5,2010,96
4352,porsche 911 carrera cabriolet 3.4a pdk,porsche,911,341000,93004,429,porsche 911 cabriolet,carrera pdk 3.0 ,569000,3,2012,96
8987,porsche 911 carrera gts cabriolet 3.8a pdk ,porsche,911,357500,49716,431,porsche 911 cabriolet,carrera gts pdk 3.0 ,750000,3,2011,96
793,porsche 911 carrera cabriolet 3.6a pdk ,porsche,911,284700,40014,435,porsche 911 cabriolet,carrera pdk 3.0 ,552488,5,2010,96
1408,porsche 911 carrera cabriolet 3.6a pdk ,porsche,911,264900,40014,435,porsche 911 cabriolet,carrera pdk 3.0 ,552488,5,2010,96
4352,porsche 911 carrera cabriolet 3.4a pdk,porsche,911,341000,93004,435,porsche 911 cabriolet,carrera pdk 3.0 ,552488,3,2012,96
4352,porsche 911 carrera cabriolet 3.4a pdk,porsche,911,341000,93004,436,porsche 911 cabriolet,carrera 4 pdk 3.0 ,589988,3,2012,96
10087,porsche 911 carrera 4s cabriolet 3.8a pdk ,porsche,911,295700,34935,438,porsche 911 cabriolet,carrera pdk 4s 3.0 ,657788,3,2010,96
2336,toyota alphard hybrid 2.5a sr c-package 7-seater,toyota,alphard,277200,47001,192,toyota alphard hybrid,2.5 sr c`package 7`seater ,276000,1,2021,95
15502,porsche 911 carrera 4s 3.8a pdk ,porsche,911,306800,47316,230,porsche 911,carrera 4s pdk 3.0 ,597000,3,2009,95
5262,toyota corolla axio hybrid 1.5a g,toyota,corolla,53800,55200,235,toyota corolla axio hybrid,1.5,110000,3,2016,95
7411,bmw m series m235i gran coupe xdrive,bmw,gran,247400,49500,311,bmw m series m235i gran coupe,2.0 xdrive ,301888,1,2020,95
10087,porsche 911 carrera 4s cabriolet 3.8a pdk ,porsche,911,295700,34935,436,porsche 911 cabriolet,carrera 4 pdk 3.0 ,589988,3,2010,95
4352,porsche 911 carrera cabriolet 3.4a pdk,porsche,911,341000,93004,438,porsche 911 cabriolet,carrera pdk 4s 3.0 ,657788,3,2012,95
540,kia stonic 1.0a ex ,kia,stonic,68200,9659,58,kia stonic,1.0t ex ,96999,1,2019,94
4133,kia stonic 1.0a ex,kia,stonic,75900,31783,58,kia stonic,1.0t ex ,96999,1,2019,94
5986,kia stonic 1.0a ex,kia,stonic,71300,25920,58,kia stonic,1.0t ex ,96999,1,2018,94
6229,kia stonic 1.0a ex,kia,stonic,86700,26667,58,kia stonic,1.0t ex ,96999,1,2019,94
7917,kia stonic 1.0a ex,kia,stonic,80700,32309,58,kia stonic,1.0t ex ,96999,1,2019,94
9207,kia stonic 1.0a ex,kia,stonic,76800,25689,58,kia stonic,1.0t ex ,96999,1,2018,94
4899,honda freed 1.5a g 7-seater ,honda,freed,61400,32416,196,honda freed,1.5 g 7`seater  ,121000,6,2008,94
8504,honda freed 1.5a g 7-seater ,honda,freed,32900,13088,196,honda freed,1.5 g 7`seater  ,121000,2,2008,94
2206,maserati levante 3.0a gransport,maserati,levante,330000,31302,255,maserati levante,3.0 v6 gransport ,398800,1,2018,94
14636,maserati levante s 3.0a gransport,maserati,levante,451900,45012,255,maserati levante,3.0 v6 gransport ,398800,1,2019,94
10562,toyota gr supra 2.0a sz-r,toyota,gr,256100,45510,286,toyota gr supra,2.0 sz ,244000,1,2019,94
12487,toyota gr supra 2.0a sz-r,toyota,gr,231000,30012,286,toyota gr supra,2.0 sz ,244000,2,2019,94
884,toyota gr supra 3.0a pro,toyota,gr,361700,51900,287,toyota gr supra,2.0 pro ,284000,2,2019,94
1340,toyota gr supra 3.0a pro,toyota,gr,322300,36000,287,toyota gr supra,2.0 pro ,284000,1,2019,94
11954,audi q3 2.0a tfsi quattro,audi,q3,70700,63001,335,audi q5,2.0 tfsi quattro ,245000,2,2013,94
13086,audi q3 2.0a tfsi quattro,audi,q3,54800,76802,335,audi q5,2.0 tfsi quattro ,245000,2,2013,94
689,porsche panamera 3.6a pdk ,porsche,panamera,160400,40014,337,porsche panamera,pdk 3.0 ,433000,3,2010,94
2723,porsche panamera 3.6a pdk ,porsche,panamera,157100,35411,337,porsche panamera,pdk 3.0 ,433000,4,2010,94
3940,porsche panamera 3.6a pdk ,porsche,panamera,157200,34935,337,porsche panamera,pdk 3.0 ,433000,6,2010,94
5341,porsche panamera 3.6a pdk ,porsche,panamera,148500,37502,337,porsche panamera,pdk 3.0 ,433000,3,2010,94
5636,porsche panamera 3.6a pdk ,porsche,panamera,171400,34935,337,porsche panamera,pdk 3.0 ,433000,5,2011,94
5850,porsche panamera 3.6a pdk ,porsche,panamera,150200,33018,337,porsche panamera,pdk 3.0 ,433000,4,2010,94
6774,porsche panamera 3.6a pdk ,porsche,panamera,164800,47316,337,porsche panamera,pdk 3.0 ,433000,5,2011,94
7702,porsche panamera 3.6a pdk,porsche,panamera,116400,83000,337,porsche panamera,pdk 3.0 ,433000,3,2012,94
8861,porsche panamera 3.6a pdk,porsche,panamera,142800,96101,337,porsche panamera,pdk 3.0 ,433000,2,2012,94
10663,porsche panamera 3.6a pdk ,porsche,panamera,157100,34935,337,porsche panamera,pdk 3.0 ,433000,5,2010,94
10849,porsche panamera 3.6a pdk ,porsche,panamera,181300,45586,337,porsche panamera,pdk 3.0 ,433000,3,2010,94
