,title,make,model,manufactured,reg_year,transmission_auto,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,mileage,omv,arf,opc_revised,opc_old,road_tax,type_of_vehicle_1,type_of_vehicle_2,type_of_vehicle_3,type_of_vehicle_4,make_model_1,make_model_2,make_model_3,make_model_4,make_model_5,make_model_6,make_model_7,make_model_8,make_model_9,make_model_10,category_almost new car,category_coe car,category_consignment car,category_direct owner sale,category_electric cars,category_hybrid cars,category_imported used vehicle,category_low mileage car,category_opc car,category_parf car,category_premium ad car,category_rare & exotic,category_sgcarmart warranty cars,category_sta evaluated car,category_vintage cars,fuel_type_diesel,fuel_type_electric,fuel_type_petrol-electric,coe_valid_time,price
11,honda city 1.5a lx i-vtec (coe till 02/2029),honda,city,2008.0,2009.0,1,1150.0,88.0,1497.0,2.0,6370.0,25727.0,19292.0,112000.0,20387.0,20387.0,0,0,889.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,52600.0
12,hyundai avante 1.6a gls elite,hyundai,avante,2019.0,2019.0,1,1345.0,93.8,1591.0,1.0,8390.0,33009.0,41097.0,27000.0,18272.0,18272.0,0,0,738.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86700.0
13,mercedes-benz amg gt r pro,mercedes-benz,amg,2020.0,2021.0,1,1650.0,430.0,3982.0,1.0,67410.0,49489.0,351493.0,238.0,241799.0,407239.0,0,0,3922.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,921800.0
14,nissan cabstar,nissan,cabstar,2015.0,2015.0,0,1980.0,200.80639191911825,2953.0,1.0,8610.0,46801.0,19579.0,190363.0,24362.0,1219.0,0,0,2329.969,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39600.0
15,toyota estima 2.4a aeras (coe till 06/2028),toyota,estima,2008.0,2008.0,1,1770.0,125.0,2362.0,5.0,7640.0,37906.0,25703.0,228000.0,28865.0,28865.0,0,0,2293.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,57000.0
16,mazda 3 1.5a,mazda,3,2016.0,2016.0,1,1321.0,88.0,1496.0,1.0,9120.0,50951.0,38496.0,68791.0,20569.0,15797.0,0,0,682.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,61100.0
17,toyota alphard 2.5a elegance sunroof,toyota,alphard,2016.0,2016.0,1,2075.0,134.0,2494.0,2.0,19120.0,51010.0,63194.0,79000.0,45427.0,55598.0,0,0,1792.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130700.0
18,ferrari 575m maranello (coe till 08/2024),ferrari,575m,2004.0,2004.0,1,1825.0,380.0,5748.0,4.0,141810.0,66834.0,19794.0,55584.0,259435.0,285379.0,0,0,10026.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,462000.0
19,nissan nv200 1.5m,nissan,nv200,2012.0,2013.0,0,1320.0,95.39936703911827,1461.0,2.0,11480.0,57051.0,8847.0,93520.5,20293.0,1015.0,0,0,661.3765000000001,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19600.0
20,volkswagen scirocco 2.0a tsi sunroof (coe till 10/2029),volkswagen,scirocco,2009.0,2009.0,1,1318.0,147.0,1984.0,3.0,8850.0,37502.0,30433.0,117000.0,30382.0,25271.0,0,0,1433.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,79000.0
21,jaguar xf 3.0a luxury (coe till 10/2029),jaguar,xf,2010.0,2010.0,1,1735.0,175.0,2967.0,4.0,9160.0,37502.0,30711.0,125446.0,54019.0,54019.0,0,0,2818.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,82500.0
22,volkswagen golf 1.4a tsi,volkswagen,golf,2013.0,2013.0,1,1288.0,103.0,1395.0,3.0,12270.0,73100.0,22855.0,77000.0,25397.0,12556.0,0,0,624.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,35200.0
23,toyota dyna 150 3.0m,toyota,dyna,2015.0,2015.0,0,1800.0,202.85518797911826,2982.0,1.0,10620.0,8132.0,3353.0,86500.0,31494.0,1575.0,0,0,2363.986,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48200.0
24,opel corsa 1.2a turbo,opel,corsa,2020.0,2020.0,1,1158.0,96.0,1199.0,1.0,8600.0,37334.0,41780.0,11000.0,20121.0,10170.0,0,0,508.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,92200.0
25,honda shuttle 1.5a g,honda,shuttle,2017.0,2018.0,1,1130.0,97.0,1496.0,1.0,10100.0,39903.0,33126.0,59900.0,18656.0,8656.0,0,0,682.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79000.0
26,toyota premio 1.5a f (coe till 06/2025),toyota,premio,2008.0,2010.0,1,1200.0,81.0,1496.0,5.0,8760.0,16438.0,12304.0,115000.0,19083.0,19083.0,0,0,818.0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,36100.0
27,mini cooper clubman 1.5a,mini,cooper,2020.0,2020.0,1,1350.0,100.0,1499.0,1.0,14330.0,30890.0,57659.0,11000.0,33658.0,39122.0,0,0,684.0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166000.0
28,suzuki grand vitara 2.0a (coe till 06/2030),suzuki,grand,2010.0,2010.0,1,1555.0,103.0,1995.0,4.0,7280.0,33568.0,29411.0,150000.0,19387.0,19387.0,0,0,1450.0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,70200.0
29,porsche taycan electric 4s,porsche,taycan,2020.0,2021.0,1,2215.0,495.0,5530.837260918151,1.0,48960.0,47001.0,170335.0,82.0,133421.0,167158.0,0,0,6343.329476075988,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,607200.0
30,honda civic 1.8a vti-s (coe till 05/2026),honda,civic,2006.0,2006.0,1,1219.0,103.0,1799.0,5.0,8300.0,46048.0,21586.0,145000.0,21276.0,23404.0,0,0,1467.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42800.0
31,honda airwave 1.5a m (coe till 02/2024),honda,airwave,2008.0,2009.0,1,1160.0,81.0,1496.0,3.0,8380.0,12864.0,6386.0,141000.0,13937.0,13937.0,0,0,887.0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,22900.0
32,bmw x4 xdrive30i m-sport,bmw,x4,2020.0,2021.0,1,1750.0,185.0,1998.0,1.0,23760.0,45510.0,101305.0,7838.0,59276.0,78697.0,0,0,1210.0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,289100.0
33,honda vezel hybrid 1.5a x honda sensing,honda,vezel,2018.0,2019.0,1,1280.0,112.0,1496.0,1.0,10460.0,40101.0,46021.0,18300.0,27213.0,20099.0,0,0,682.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,106600.0
34,mazda 3 1.5a sunroof,mazda,3,2016.0,2016.0,1,1321.0,88.0,1496.0,1.0,10010.0,53694.0,33798.0,47500.0,16296.0,11296.0,0,0,682.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,59300.0
35,toyota alphard 2.5a s c-package moonroof,toyota,alphard,2021.0,2021.0,1,2030.0,134.0,2493.0,1.0,19390.0,58001.0,93345.0,88.0,51972.0,65550.0,0,0,1792.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,246200.0
36,bmw m series x6 m sunroof (new 10-yr coe),bmw,x6,2011.0,2011.0,1,2305.0,408.0,4395.0,4.0,16880.0,44202.64355053101,91771.78327990626,57756.0,114831.0,114831.0,0,0,4568.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,185800.0
37,mitsubishi lancer 1.6m glx (coe till 01/2024),mitsubishi,lancer,2009.0,2009.0,0,1162.0,79.0,1584.0,5.0,8130.0,13024.0,6344.0,140000.0,11669.0,11669.0,0,0,954.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,21800.0
38,porsche cayenne 3.6a tip (new 10-yr coe),porsche,cayenne,2011.0,2011.0,1,2105.0,220.0,3598.0,2.0,15550.0,44202.64355053101,67086.62054323626,90000.0,74718.0,74718.0,0,0,3322.0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,171100.0
39,honda freed hybrid 1.5a g 7-seater,honda,freed,2020.0,2021.0,1,1430.0,101.0,1496.0,1.0,12080.0,60001.0,71057.0,644.0,28477.0,16868.0,0,0,681.904,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,138600.0
40,lexus nx hybrid nx300h luxury sunroof,lexus,nx,2015.0,2015.0,1,1800.0,147.0,2494.0,2.0,17870.0,65501.0,64156.0,97015.0,51157.0,59083.0,0,0,1792.0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,109800.0
41,honda civic 1.6m vti (coe till 03/2023),honda,civic,2008.0,2008.0,0,1190.0,92.0,1595.0,3.0,7160.0,19637.0,6198.0,145000.0,18850.0,20735.0,0,0,1036.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12400.0
42,bmw 7 series 740li m-sport,bmw,740li,2019.0,2020.0,1,1770.0,240.0,2998.0,1.0,39940.0,45012.0,154546.0,652.0,98984.0,150172.0,0,0,2384.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,491700.0
43,honda vezel hybrid 1.5a z,honda,vezel,2016.0,2016.0,1,1300.0,112.0,1496.0,2.0,10280.0,57010.0,40330.0,74112.0,25911.0,18276.0,0,0,682.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,64700.0
44,bmw 5 series 528i (new 10-yr coe),bmw,528i,2011.0,2011.0,1,1620.0,180.0,1997.0,3.0,10550.0,44202.64355053101,53348.64101207626,114800.0,52394.0,52394.0,0,0,1210.0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,116100.0
45,lamborghini aventador lp700-4 (coe till 06/2031),lamborghini,aventador,2012.0,2012.0,1,1690.0,515.0,6498.0,6.0,62960.0,53932.0,52942.0,67000.0,373084.0,373084.0,0,0,7856.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,679800.0
46,audi r8 4.2a fsi quattro r-tronic (coe till 10/2027),audi,r8,2008.0,2008.0,1,1565.0,309.0,4163.0,6.0,25750.0,50451.0,31114.0,99742.0,139214.0,139214.0,0,0,5888.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,174700.0
47,mercedes-benz e-class e200ml (coe till 12/2025),mercedes-benz,e200,2005.0,2005.0,1,1530.0,120.0,1796.0,3.0,8110.0,59798.0,25656.0,143000.0,57408.0,63149.0,0,0,1461.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,38300.0
48,mercedes-benz maybach s-class s600,mercedes-benz,maybach,2016.0,2016.0,1,2335.0,390.0,5980.0,2.0,59200.0,56956.0,288500.0,60500.0,207704.0,345868.0,0,0,7046.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,525800.0
49,honda jazz 1.3a,honda,jazz,2016.0,2016.0,1,1040.0,73.0,1318.0,2.0,9180.0,55200.0,36254.0,110000.0,16398.0,11398.0,0,0,578.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57000.0
50,volkswagen jetta gp 1.4a tsi highline,volkswagen,jetta,2015.0,2015.0,1,1417.0,90.0,1390.0,3.0,9940.0,57089.0,38748.0,127000.0,21568.0,22196.0,0,0,620.0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56700.0
51,bmw 2 series 216i active tourer,bmw,216i,2021.0,2021.0,1,1380.0,80.0,1499.0,1.0,11860.0,48510.0,74135.0,41.0,31169.0,35637.0,0,0,684.0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,147100.0
52,mercedes-benz glb-class glb200 progressive,mercedes-benz,glb200,2020.0,2020.0,1,1555.0,120.0,1332.0,1.0,17260.0,39000.0,69090.0,9700.0,36865.0,43611.0,0,0,586.0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,201100.0
53,hyundai elantra 1.6a,hyundai,elantra,2015.0,2015.0,1,1292.0,97.0,1591.0,1.0,8730.0,57301.0,32833.0,102016.0,12771.0,12771.0,0,0,738.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,47100.0
54,honda accord euro r 2.0m (coe till 05/2027),honda,accord,2007.0,2007.0,0,1390.0,162.0,1998.0,6.0,13140.0,52491.0,30272.0,150000.0,25564.0,28121.0,0,0,1815.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,83400.0
55,bmw z4 sdrive23i (coe till 03/2030),bmw,z4,2010.0,2010.0,1,1430.0,150.0,2497.0,4.0,13720.0,35416.0,30467.0,58000.0,41849.0,41849.0,0,0,1976.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,129800.0
56,lexus es hybrid es300h luxury sunroof,lexus,es,2014.0,2015.0,1,1705.0,151.0,2494.0,1.0,14970.0,57885.0,54860.0,86500.0,41506.0,45109.0,0,0,1792.0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,91100.0
57,bmw 1 series 116i urban,bmw,116i,2012.0,2012.0,1,1310.0,100.0,1598.0,2.0,27010.0,56501.0,17432.0,67000.0,27217.0,27217.0,0,0,742.0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,35100.0
58,toyota wish 1.8a,toyota,wish,2016.0,2016.0,1,1360.0,105.0,1798.0,1.0,11130.0,56410.0,44269.0,58000.0,19955.0,19955.0,0,0,976.0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,74600.0
59,nissan x-trail 2.0a 7-seater sunroof,nissan,x-trail,2016.0,2017.0,1,1626.0,106.0,1997.0,1.0,11100.0,52807.0,46716.0,81900.0,23227.0,24518.0,0,0,1210.0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,79000.0
60,toyota corolla altis 1.6a elegance,toyota,corolla,2015.0,2016.0,1,1205.0,90.0,1598.0,2.0,8810.0,45000.0,34203.0,121496.0,19589.0,19589.0,0,0,742.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,54900.0
61,mercedes-benz glc-class glc43 amg 4matic premium plus,mercedes-benz,amg,2020.0,2021.0,1,1875.0,287.0,2996.0,1.0,28940.0,49300.0,128014.0,9000.0,76153.0,109076.0,0,0,2382.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,358400.0
62,volkswagen polo 1.2a tsi,volkswagen,polo,2017.0,2017.0,1,1139.0,66.0,1197.0,1.0,8530.0,42902.0,31848.0,77368.0,17610.0,7610.0,0,0,508.0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61400.0
63,audi a3 sedan 1.4a tfsi s-tronic ambiente,audi,a3,2014.0,2015.0,1,1310.0,92.0,1395.0,2.0,12800.0,62002.0,31572.0,79000.0,27192.0,15069.0,0,0,624.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57800.0
64,volkswagen beetle 1.2a tsi sunroof,volkswagen,beetle,2018.0,2019.0,1,1340.0,77.0,1197.0,1.0,10880.0,25920.0,34563.0,56392.0,20093.0,20131.0,0,0,508.0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101000.0
65,audi r8 spyder 4.2a (coe till 06/2031),audi,r8,2011.0,2011.0,1,1740.0,316.0,4163.0,4.0,25760.0,53932.0,53134.0,42000.0,159977.0,159977.0,0,0,4206.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,279200.0
66,audi a5 cabriolet 2.0a tfsi (coe till 06/2030),audi,a5,2010.0,2010.0,1,1655.0,155.0,1984.0,3.0,9890.0,33568.0,29466.0,122000.0,47399.0,47399.0,0,0,1433.0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,95500.0
67,proton exora 1.6a m-line (coe till 04/2025),proton,exora,2010.0,2010.0,1,1422.0,93.0,1597.0,2.0,7330.0,16438.0,12016.0,106000.0,14128.0,14128.0,0,0,890.0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,29500.0
68,toyota hiace 3.0m,toyota,hiace,2019.0,2019.0,0,1700.0,111.0,2982.0,1.0,9190.0,24651.0,18998.0,27000.0,28136.0,1407.0,0,0,2363.986,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,77900.0
69,honda hr-v 1.5a dx,honda,hr-v,2018.0,2018.0,1,1185.0,96.0,1496.0,1.0,9350.0,34110.0,37769.0,41232.0,19096.0,19096.0,0,0,682.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,81200.0
70,mercedes-benz c-class c180k (coe till 07/2031),mercedes-benz,c180,2011.0,2011.0,1,1500.0,115.0,1597.0,2.0,7990.0,46896.0,46331.0,99000.0,31019.0,31019.0,0,0,816.0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,86800.0
71,honda hr-v 1.5a lx,honda,hr-v,2016.0,2016.0,1,1190.0,96.0,1496.0,1.0,9610.0,52668.0,42973.0,45000.0,23772.0,20281.0,0,0,682.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,66900.0
72,hyundai ioniq hybrid 1.6a dct sunroof,hyundai,ioniq,2019.0,2019.0,1,1370.0,103.6,1580.0,1.0,10290.0,48010.0,52328.0,27000.0,27279.0,20191.0,0,0,732.0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,98800.0
73,toyota hiace 3.0a,toyota,hiace,2021.0,2021.0,1,1680.0,111.0,2982.0,2.0,9440.0,39589.0,37723.0,644.0,29353.0,1468.0,0,0,2363.986,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98900.0
74,suzuki sx4 s-cross 1.6a glx,suzuki,sx4,2015.0,2015.0,1,1125.0,86.0,1586.0,1.0,10450.0,55399.0,35425.0,48200.0,17108.0,17108.0,0,0,736.0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,58100.0
75,mitsubishi lancer ex 1.5a elegance (coe till 03/2029),mitsubishi,lancer,2009.0,2010.0,1,1313.0,80.0,1499.0,1.0,7950.0,25525.0,19273.0,125446.0,18083.0,18083.0,0,0,821.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,66000.0
76,mercedes-benz e-class e200 mild hybrid amg line,mercedes-benz,amg,2021.0,2021.0,1,1700.0,155.0,1991.0,1.0,10610.0,10.0,35556.0,8.0,51000.0,60673.88094,0,0,1201.5430000000001,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,247400.0
77,proton exora 1.6a m-line (coe till 04/2026),proton,exora,2009.0,2011.0,1,1422.0,93.0,1597.0,1.0,7030.0,21142.0,19798.0,150738.0,14169.0,14169.0,0,0,816.0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36200.0
